a_lat_kinematic_mps2,collision,cte,delta,dt,heading_error,previous_delta,s,step,success,termination_reason,v,v_ref,x,y,yaw
0.00016008538798205834,False,0.0,0.04000000000000001,0.05,8.004269399108921e-05,0.0,0.004999999999999893,0,False,,0.1,0.023971119601591886,4.255,13.25,8.004269399108921e-05
0.0012827376753291612,False,8.004269389516594e-07,0.08000000000000002,0.05,0.00040072711282324036,0.04000000000000001,0.01499999996796575,1,False,,0.2,0.07191335865119783,4.264999999967966,13.250000800426939,0.00040072711282324036
0.004340856139606993,False,6.811333470579939e-06,0.12000000000000002,0.05,0.0011242031360909621,0.08000000000000002,0.029999998763599045,2,False,,0.30000000000000004,0.14382671168197136,4.279999998763599,13.25000681133347,0.0011242031360909621
0.008704865021852186,False,2.9295391456685138e-05,0.1351839691400528,0.05,0.002212311263822375,0.12000000000000002,0.04999998612527356,3,False,,0.4,0.2397111294973786,4.299999986125274,13.250029295391457,0.002212311263822375
0.013092321325988296,False,8.460312793623359e-05,0.13018276691436767,0.05,0.0035215433964213005,0.1351839691400528,0.07499992494628405,4,False,,0.5,0.35956643419956563,4.324999924946284,13.250084603127936,0.0035215433964213005
0.01912726222112679,False,0.00019024921147092755,0.13205519914627076,0.05,0.005115481914848452,0.13018276691436767,0.10499973892745817,5,False,,0.6,0.5033922599932155,4.354999738927458,13.250190249211471,0.005115481914848452
0.025910231006723804,False,0.00036929029762511334,0.13143297135829926,0.05,0.0069662127010428065,0.13205519914627076,0.13999928098574,6,False,,0.7,0.6711879017292228,4.38999928098574,13.250369290297625,0.0069662127010428065
0.03386616135400152,False,0.0006479365519584945,0.131525981426239,0.05,0.009082847785667703,0.13143297135829926,0.1799983104272771,7,False,,0.7999999999999999,0.8461900013246887,4.429998310427277,13.250647936551958,0.009082847785667703
0.042747854157869095,False,0.0010566590824527822,0.13118014633655548,0.05,0.011457728572215942,0.131525981426239,0.2249964542322509,8,False,,0.8999999999999999,0.9355487808303755,4.474996454232251,13.251056659082453,0.011457728572215942
0.0524728979494154,False,0.0016290813721475672,0.1306409865617752,0.05,0.01408344335638434,0.13118014633655548,0.2749537591863147,9,False,,0.9992116863910396,1.0347556240600981,4.524953759186315,13.251629081372148,0.01408344335638434
0.06272417820259209,False,0.0024004479957948632,0.1299357086420059,0.05,0.01694635958246149,0.1306409865617752,0.3297213046627441,10,False,,1.0954595463057213,1.1435147995831334,4.579721304662744,13.252400447995795,0.01694635958246149
0.073463047941248,False,0.0034082357341986835,0.1290922522544861,0.05,0.02003448913961403,0.1299357086420059,0.38918488796468953,11,False,,1.1894424534601291,1.242597499474414,4.6391848879646895,13.253408235734199,0.02003448913961403
0.08461068649917608,False,0.004691900529676829,0.12809025943279265,0.05,0.02333562057424521,0.1290922522544861,0.45324906428698863,12,False,,1.281540710732481,1.340217397374326,4.703249064286989,13.254691900529677,0.02333562057424521
0.09605627337016612,False,0.006292264803690273,0.1269365072250366,0.05,0.026836900490412763,0.12809025943279265,0.5218169330931142,13,False,,1.3717308480053287,1.444699944974625,4.771816933093114,13.25629226480369,0.026836900490412763
0.1077463776393083,False,0.008251810945260729,0.1256144106388092,0.05,0.030525550212614494,0.1269365072250366,0.594816260471128,14,False,,1.4605124605731297,1.5385405889138482,4.844816260471128,13.25825181094526,0.030525550212614494
0.11961199478755088,False,0.01061419495577276,0.12413862347602844,0.05,0.03438886680584785,0.1256144106388092,0.6721826039029564,15,False,,1.5480480553554874,1.6379260457131526,4.922182603902956,13.260614194955773,0.03438886680584785
0.13313064989404905,False,0.013423986946026645,0.1239487588405609,0.05,0.03846150803253767,0.12413862347602844,0.7538568359805504,16,False,,1.6344509924122226,1.7340204407859139,5.00385683598055,13.263423986946027,0.03846150803253767
0.14638174852160143,False,0.016725225540133337,0.12349120080471038,0.05,0.04272405575397986,0.1239487588405609,0.8396467796211251,17,False,,1.7170687355034135,1.8311143028554202,5.089646779621125,13.266725225540133,0.04272405575397986
0.1677381674967997,False,0.020529800349342153,0.1313627243041992,0.05,0.04743172689318387,0.12349120080471038,0.9286425356006482,18,False,,1.7815408355517044,1.9254856252577035,5.178642535600648,13.270529800349342,0.04743172689318387
0.198044832924029,False,0.02488133773868384,0.14590595662593842,0.05,0.052826421769289755,0.1313627243041992,1.0203169035194115,19,False,,1.8355517547544868,2.0192860805703465,5.2703169035194115,13.274881337738684,0.052826421769289755
0.23465956926853307,False,0.029837982604451696,0.16492191553115845,0.05,0.0590758409682719,0.14590595662593842,1.1140585032699288,20,False,,1.8774510222225873,2.1094526681454675,5.364058503269929,13.279837982604452,0.0590758409682719
0.2577678397380405,False,0.03547119980288649,0.17516069412231444,0.05,0.06582997253148548,0.16492191553115845,1.2093032320150732,21,False,,1.90822341351749,2.199070519785556,5.459303232015073,13.285471199802886,0.06582997253148548
0.27240951168190913,False,0.0418680753840146,0.1781386613845825,0.05,0.07283329825474993,0.17516069412231444,1.3063355137575536,22,False,,1.9448582176963465,2.2846302884779055,5.556335513757554,13.291868075384015,0.07283329825474993
0.28071736849240103,False,0.04910372548426878,0.17562586069107056,0.05,0.0798912336513724,0.1781386613845825,1.4055051443306734,23,False,,1.9886649049432543,2.3707757032535195,5.655505144330673,13.299103725484269,0.0798912336513724
