index,kappa,s,v_ref,x,y,yaw
0,0.0,0.0,0.0,4.25,13.25,0.0
1,0.0,0.17402969635434662,0.8343373331077704,4.424029696354347,13.25,0.0
2,0.0,0.34805939270869324,1.1799311720752075,4.598059392708693,13.25,0.0
3,0.0,0.5220890890630399,1.4451146515941768,4.77208908906304,13.25,0.0
4,0.0,0.6961187854173865,1.6686746662155405,4.9461187854173865,13.25,0.0
5,0.0,0.8701484817717331,1.8656349929948601,5.120148481771733,13.25,0.0
6,0.0,1.0441781781260797,2.043700739468555,5.29417817812608,13.25,0.0
7,0.0,1.2182078744804254,2.2074490929400166,5.4682078744804254,13.25,0.0
8,0.0,1.392237570834773,2.359862344150415,5.642237570834773,13.25,0.0
9,0.0,1.5662672671891187,2.50301199932331,5.816267267189119,13.25,0.0
10,0.0,1.7402969635434662,2.6384063095311654,5.990296963543466,13.25,0.0
11,0.0,1.914326659897812,2.450010861618476,6.164326659897812,13.25,0.0
12,0.0,2.0883563562521594,2.2267409018389235,6.338356356252159,13.25,0.0
13,0.0,2.262386052606505,1.978432931841852,6.512386052606505,13.25,0.0
14,0.0,2.436415748960852,1.69411295009225,6.686415748960852,13.25,0.0
15,0.0,2.6104454453151984,1.3512366593399494,6.860445445315198,13.25,0.0
16,0.02329701214488621,2.784475141669545,0.8841166955883749,7.034475141669545,13.25,0.0
17,0.13031513249938328,2.9585048380238916,0.4550042362703123,7.208504838023892,13.25,0.008108743899076145
18,0.21876968529052188,3.055358549232043,0.5902606533121677,7.305350834809769,13.251222408009589,0.02524302786976147
19,0.2606304658321109,3.152212260440193,0.8578009580789165,7.40213512359072,13.254888853148556,0.05048605573952847
20,0.2606304658321532,3.2490659716483443,1.0598289147375215,7.498796035680724,13.260996999243776,0.07572908360925956
21,0.2606304658323099,3.3459196828564943,1.229085909668772,7.595271981006494,13.269542954327363,0.10097211147903479
22,0.2606304658322314,3.442773394064646,1.3777035305822949,7.691501487351249,13.280521273116543,0.12621513934879633
23,0.26063046583226235,3.5396271052727966,1.5117810234989464,7.787423239523357,13.29392496048325,0.15145816721855646
24,0.2606304658322426,3.636480816480947,1.6348996017627881,7.882976118424956,13.309745475911269,0.17670119508832366
25,0.26063046583216365,3.7333345276890983,1.7493746175924494,7.978099239995606,13.327972738938048,0.20194422295808018
26,0.2606304658322418,3.8301882388972475,1.856805428015904,8.072731994006187,13.348595135577732,0.22718725082783175
27,0.26063046583226557,3.927041950105399,1.9583516646256183,8.16681408267833,13.37159952572133,0.2524302786976034
28,0.260630465832167,4.023895661313551,2.0548859061209552,8.260285559104743,13.396971251509276,0.2776733065673604
29,0.2606304658322216,4.1207493725217015,2.1470842861907267,8.353086865445976,13.424694146671081,0.30291633443711274
30,0.2606304658322367,4.217603083729853,2.101490773571854,8.445158870879295,13.454750546826101,0.32815936230688003
31,0.26063046583226646,4.314456794938002,1.9583516548768083,8.536442909275452,13.487121300738863,0.3534023901766351
32,0.26063046583233684,4.411310506146153,1.8038899458974296,8.626880816579373,13.521785782521796,0.37864541804640794
33,0.2606304658321912,4.508164217354304,1.6348995900852514,8.716414967870932,13.558721904777553,0.4038884459161772
34,0.2606304658321177,4.6050179285624555,1.4462967891867888,8.804988314082207,13.597906132672582,0.4291314737859219
35,0.260630465832286,4.701871639770606,1.2290858941356018,8.892544418347807,13.639313498932985,0.4543745016556766
36,0.260630465832258,4.7987253509787555,0.9641212931546603,8.979027491965127,13.682917619753074,0.47961752952545356
37,0.21840401064216008,4.895579062186908,0.5902606209678071,9.064382429941608,13.72869071160651,0.5048605573952033
38,0.13031512613423613,4.992432773395057,0.4583983078414154,9.148554846106338,13.776603608949326,0.5219240074723293
39,0.022931341564322416,5.170782081256152,0.9060615011825756,9.30242654971966,13.866781069778877,0.530103585264971
40,-9.769962616701378e-15,5.349131389117246,1.2386866736062019,9.456298253332983,13.956958530608427,0.530103585264976
41,-4.374278717023117e-14,5.5274806969783405,1.4992471133252103,9.610169956946306,14.047135991437978,0.5301035852649674
42,2.375877272697835e-14,5.705830004839435,1.720796076895329,9.764041660559629,14.137313452267529,0.5301035852649605
43,2.4868995751603507e-14,5.884179312700529,1.916908023276738,9.917913364172952,14.227490913097078,0.530103585264976
44,-4.8627768478581856e-14,6.062528620561624,2.09473950675188,10.071785067786275,14.31766837392663,0.5301035852649691
45,1.865174681370263e-14,6.2408779284227185,2.2586125901959124,10.225656771399597,14.40784583475618,0.5301035852649587
46,2.2870594307278225e-14,6.419227236283812,2.41137472493096,10.37952847501292,14.49802329558573,0.530103585264976
47,1.687538997430238e-14,6.597576544144907,2.5550196272201595,10.533400178626243,14.588200756415281,0.5301035852649667
48,1.9761969838327786e-14,6.775925852006001,2.6910077158798,10.687271882239566,14.67837821724483,0.5301035852649822
49,-2.9531932455029164e-14,6.9542751598670955,2.8204467302838743,10.841143585852889,14.768555678074382,0.5301035852649736
50,-1.2434497875801753e-14,7.13262446772819,2.944200568883407,10.995015289466211,14.858733138903933,0.5301035852649717
51,5.329070518200751e-15,7.310973775589282,3.062958409978455,11.148886993079532,14.948910599733482,0.5301035852649691
52,-6.8833827526759706e-15,7.489323083450377,3.177280512120723,11.302758696692855,15.039088060563033,0.5301035852649736
53,-2.7977620220553945e-14,7.667672391311472,3.2876296452226033,11.456630400306178,15.129265521392584,0.5301035852649667
54,1.9317880628477724e-14,7.8460216991725655,3.394393305966602,11.6105021039195,15.219442982222134,0.5301035852649638
